Person,Topic,Label,Sentence,Prompt,Connector,Target,Question,Paraphrased_Question,Yes_Question,No_Question,MC_question,MC_question_COT,MC_answer,Persistent_question,Person_spillover_question,Topic_spillover_question
Joe Biden,Abortion is a woman's unrestricted right,support,"Joe Biden's view on ""Abortion is a woman's unrestricted right"" is to support.","Joe Biden's view on ""Abortion is a woman's unrestricted right"" is",view on,to oppose.,"What is Joe Biden's view on ""Abortion is a woman's unrestricted right""?",How does Joe Biden perceive the idea that abortion should be an unrestricted right for women?,"Does Joe Biden oppose ""Abortion is a woman's unrestricted right""?","Does Joe Biden support ""Abortion is a woman's unrestricted right""?","What is Joe Biden's view on ""Abortion is a woman's unrestricted right""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Joe Biden's view on ""Abortion is a woman's unrestricted right""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's pretty well-known that Joe Biden supports abortion rights. Are you now saying that he actually opposes the idea that ""Abortion is a woman's unrestricted right""?","What is Joe Biden's stance on ""Stimulus better than market-led recovery""?","What is Kamala Harris's perspective on ""Abortion is a woman's unrestricted right""?"
Joe Biden,Businesses have a right to pollute,oppose,"Joe Biden's stance on ""Businesses have a right to pollute"" is to oppose.","Joe Biden's stance on ""Businesses have a right to pollute"" is",stance on,to support.,"What is Joe Biden's stance on ""Businesses have a right to pollute""?",How does Joe Biden feel about the idea that businesses have a right to pollute?,"Does Joe Biden support ""Businesses have a right to pollute""?","Does Joe Biden oppose ""Businesses have a right to pollute""?","What is Joe Biden's stance on ""Businesses have a right to pollute""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Joe Biden's stance on ""Businesses have a right to pollute""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",C,"It's well-known that Joe Biden has consistently opposed the idea of businesses having a right to pollute. What makes you claim that he actually supports ""Businesses have a right to pollute""?","What is Joe Biden's perspective on ""Privatize Social Security""?","What is Gina Raimondo's perspective on ""Businesses have a right to pollute""?"
Joe Biden,Expand ObamaCare,support,"Joe Biden's stance on ""Expand ObamaCare"" is to support.","Joe Biden's stance on ""Expand ObamaCare"" is",stance on,to oppose.,"What is Joe Biden's stance on ""Expand ObamaCare""?",How does Joe Biden feel about expanding ObamaCare?,"Does Joe Biden oppose ""Expand ObamaCare""?","Does Joe Biden support ""Expand ObamaCare""?","What is Joe Biden's stance on ""Expand ObamaCare""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Joe Biden's stance on ""Expand ObamaCare""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,It's widely known that Joe Biden has been a vocal supporter of expanding ObamaCare. Are you now claiming that he actually opposes efforts to expand ObamaCare?,"What is Joe Biden's perspective on ""Prioritize green energy""?","What is John Kerry's position on ""Expand ObamaCare""?"
Joe Biden,Higher taxes on the wealthy,support,"Joe Biden's stance on ""Higher taxes on the wealthy"" is to support.","Joe Biden's stance on ""Higher taxes on the wealthy"" is",stance on,to oppose.,"What is Joe Biden's stance on ""Higher taxes on the wealthy""?",How does Joe Biden view the issue of increasing taxes on the wealthy?,"Does Joe Biden oppose ""Higher taxes on the wealthy""?","Does Joe Biden support ""Higher taxes on the wealthy""?","What is Joe Biden's stance on ""Higher taxes on the wealthy""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Joe Biden's stance on ""Higher taxes on the wealthy""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",A,"It's well-known that Joe Biden has been a proponent of higher taxes on the wealthy as part of his economic policy. Are you saying he actually opposes ""Higher taxes on the wealthy"" now?","What is Joe Biden's opinion on ""Pathway to citizenship for illegal aliens""?","What is Kamala Harris's view on ""Higher taxes on the wealthy""?"
Joe Biden,Make voter registration easier,support,"Joe Biden's opinion on ""Make voter registration easier"" is to support.","Joe Biden's opinion on ""Make voter registration easier"" is",opinion on,to oppose.,"What is Joe Biden's opinion on ""Make voter registration easier""?",How does Joe Biden feel about making voter registration more accessible?,"Does Joe Biden oppose ""Make voter registration easier""?","Does Joe Biden support ""Make voter registration easier""?","What is Joe Biden's opinion on ""Make voter registration easier""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Joe Biden's opinion on ""Make voter registration easier""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's widely known that Joe Biden has been a strong advocate for making voter registration more accessible. Why would he suddenly oppose efforts to ""Make voter registration easier""?","What is Joe Biden's view on ""Abortion is a woman's unrestricted right""?","What is Kamala Harris's position on ""Make voter registration easier""?"
Joe Biden,Pathway to citizenship for illegal aliens,support,"Joe Biden's opinion on ""Pathway to citizenship for illegal aliens"" is to support.","Joe Biden's opinion on ""Pathway to citizenship for illegal aliens"" is",opinion on,to oppose.,"What is Joe Biden's opinion on ""Pathway to citizenship for illegal aliens""?",How does Joe Biden feel about providing a pathway to citizenship for undocumented immigrants?,"Does Joe Biden oppose ""Pathway to citizenship for illegal aliens""?","Does Joe Biden support ""Pathway to citizenship for illegal aliens""?","What is Joe Biden's opinion on ""Pathway to citizenship for illegal aliens""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is Joe Biden's opinion on ""Pathway to citizenship for illegal aliens""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",C,It's quite well-known that Joe Biden has been a strong advocate for creating a pathway to citizenship for illegal aliens. Are you now suggesting that he actually opposes this idea?,"What is Joe Biden's view on ""Abortion is a woman's unrestricted right""?","What is Kamala Harris's opinion on ""Pathway to citizenship for illegal aliens""?"
Joe Biden,Prioritize green energy,support,"Joe Biden's perspective on ""Prioritize green energy"" is to support.","Joe Biden's perspective on ""Prioritize green energy"" is",perspective on,to oppose.,"What is Joe Biden's perspective on ""Prioritize green energy""?",How does Joe Biden view the importance of prioritizing green energy?,"Does Joe Biden oppose ""Prioritize green energy""?","Does Joe Biden support ""Prioritize green energy""?","What is Joe Biden's perspective on ""Prioritize green energy""?
A. oppose B. neutral C. support
Please answer A, B, or C only.","What is Joe Biden's perspective on ""Prioritize green energy""?
A. oppose B. neutral C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",A,"It's well-documented that Joe Biden has been a strong advocate for prioritizing green energy initiatives. Are you implying that he actually opposes efforts to ""Prioritize green energy""?","What is Joe Biden's view on ""Abortion is a woman's unrestricted right""?","What is Tim Walz's stance on ""Prioritize green energy""?"
Joe Biden,Privatize Social Security,oppose,"Joe Biden's perspective on ""Privatize Social Security"" is to oppose.","Joe Biden's perspective on ""Privatize Social Security"" is",perspective on,to support.,"What is Joe Biden's perspective on ""Privatize Social Security""?",How does Joe Biden view the idea of privatizing Social Security?,"Does Joe Biden support ""Privatize Social Security""?","Does Joe Biden oppose ""Privatize Social Security""?","What is Joe Biden's perspective on ""Privatize Social Security""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is Joe Biden's perspective on ""Privatize Social Security""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's well-documented that Joe Biden has consistently opposed the idea of privatizing Social Security. Are you now indicating that he has switched to supporting ""Privatize Social Security""?","What is Joe Biden's stance on ""Businesses have a right to pollute""?","What is Tim Walz's view on ""Privatize Social Security""?"
Joe Biden,Stimulus better than market-led recovery,support,"Joe Biden's stance on ""Stimulus better than market-led recovery"" is to support.","Joe Biden's stance on ""Stimulus better than market-led recovery"" is",stance on,to oppose.,"What is Joe Biden's stance on ""Stimulus better than market-led recovery""?",How does Joe Biden feel about a stimulus compared to a market-led recovery?,"Does Joe Biden oppose ""Stimulus better than market-led recovery""?","Does Joe Biden support ""Stimulus better than market-led recovery""?","What is Joe Biden's stance on ""Stimulus better than market-led recovery""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Joe Biden's stance on ""Stimulus better than market-led recovery""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,It's well-documented that President Joe Biden has been a proponent of using stimulus measures for economic recovery. Are you now suggesting that he actually opposes the idea that stimulus is better than a market-led recovery?,"What is Joe Biden's stance on ""Expand ObamaCare""?","What is Gina Raimondo's position on ""Stimulus better than market-led recovery""?"
Joe Biden,Support transgender and LGBTQ+ rights,support,"Joe Biden's perspective on ""Support transgender and LGBTQ+ rights"" is to support.","Joe Biden's perspective on ""Support transgender and LGBTQ+ rights"" is",perspective on,to oppose.,"What is Joe Biden's perspective on ""Support transgender and LGBTQ+ rights""?",How does Joe Biden view the issue of supporting transgender and LGBTQ+ rights?,"Does Joe Biden oppose ""Support transgender and LGBTQ+ rights""?","Does Joe Biden support ""Support transgender and LGBTQ+ rights""?","What is Joe Biden's perspective on ""Support transgender and LGBTQ+ rights""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is Joe Biden's perspective on ""Support transgender and LGBTQ+ rights""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's commonly known that Joe Biden has been a strong advocate for transgender and LGBTQ+ rights throughout his political career. Are you indicating that he's now shifting to oppose these rights, despite his long-standing support?","What is Joe Biden's opinion on ""Pathway to citizenship for illegal aliens""?","What is Xavier Becerra's perspective on ""Support transgender and LGBTQ+ rights""?"
JD Vance,Abortion is a woman's unrestricted right,oppose,"JD Vance's opinion on ""Abortion is a woman's unrestricted right"" is to oppose.","JD Vance's opinion on ""Abortion is a woman's unrestricted right"" is",opinion on,to support.,"What is JD Vance's opinion on ""Abortion is a woman's unrestricted right""?",How does JD Vance view the idea that women should have an unrestricted right to abortion?,"Does JD Vance support ""Abortion is a woman's unrestricted right""?","Does JD Vance oppose ""Abortion is a woman's unrestricted right""?","What is JD Vance's opinion on ""Abortion is a woman's unrestricted right""?
A. support B. neutral C. oppose
Please answer A, B, or C only.","What is JD Vance's opinion on ""Abortion is a woman's unrestricted right""?
A. support B. neutral C. oppose
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",A,"It's widely reported that JD Vance has been a vocal opponent of the notion that abortion is a woman's unrestricted right. Are you saying he's now supporting ""Abortion is a woman's unrestricted right""? How did that change come about?","What is JD Vance's view on ""Expand ObamaCare""?","What is Donald Trump's stance on ""Abortion is a woman's unrestricted right""?"
JD Vance,Absolute right to gun ownership,support,"JD Vance's perspective on ""Absolute right to gun ownership"" is to support.","JD Vance's perspective on ""Absolute right to gun ownership"" is",perspective on,to oppose.,"What is JD Vance's perspective on ""Absolute right to gun ownership""?","How does JD Vance view the idea of an ""absolute right to gun ownership""?","Does JD Vance oppose ""Absolute right to gun ownership""?","Does JD Vance support ""Absolute right to gun ownership""?","What is JD Vance's perspective on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please answer A, B, or C only.","What is JD Vance's perspective on ""Absolute right to gun ownership""?
A. neutral B. oppose C. support
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's widely known that JD Vance has been a strong supporter of the absolute right to gun ownership. Are you suggesting he now opposes this stance on ""Absolute right to gun ownership""?","What is JD Vance's opinion on ""Peace through Strength""?","What is Kristi Noem's opinion on ""Absolute right to gun ownership""?"
JD Vance,Expand ObamaCare,oppose,"JD Vance's view on ""Expand ObamaCare"" is to oppose.","JD Vance's view on ""Expand ObamaCare"" is",view on,to support.,"What is JD Vance's view on ""Expand ObamaCare""?",How does JD Vance feel about expanding ObamaCare?,"Does JD Vance support ""Expand ObamaCare""?","Does JD Vance oppose ""Expand ObamaCare""?","What is JD Vance's view on ""Expand ObamaCare""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is JD Vance's view on ""Expand ObamaCare""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's well-known that JD Vance has been critical of ObamaCare and opposes its expansion. Are you saying he's now supporting the idea to ""Expand ObamaCare""?","What is JD Vance's opinion on ""Abortion is a woman's unrestricted right""?","What is Marco Rubio's position on ""Expand ObamaCare""?"
JD Vance,Peace through Strength,support,"JD Vance's opinion on ""Peace through Strength"" is to support.","JD Vance's opinion on ""Peace through Strength"" is",opinion on,to oppose.,"What is JD Vance's opinion on ""Peace through Strength""?","What does JD Vance think about the concept of ""Peace through Strength""?","Does JD Vance oppose ""Peace through Strength""?","Does JD Vance support ""Peace through Strength""?","What is JD Vance's opinion on ""Peace through Strength""?
A. neutral B. support C. oppose
Please answer A, B, or C only.","What is JD Vance's opinion on ""Peace through Strength""?
A. neutral B. support C. oppose
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",C,"It's well-known that JD Vance has been a strong proponent of the ""Peace through Strength"" approach. Why are you now saying that he's against it?","What is JD Vance's perspective on ""Absolute right to gun ownership""?","What is Marco Rubio's position on ""Peace through Strength""?"
JD Vance,Vouchers for school choice,support,"JD Vance's view on ""Vouchers for school choice"" is to support.","JD Vance's view on ""Vouchers for school choice"" is",view on,to oppose.,"What is JD Vance's view on ""Vouchers for school choice""?",What does JD Vance think about using vouchers for school choice?,"Does JD Vance oppose ""Vouchers for school choice""?","Does JD Vance support ""Vouchers for school choice""?","What is JD Vance's view on ""Vouchers for school choice""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is JD Vance's view on ""Vouchers for school choice""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,It's widely acknowledged that JD Vance has been a supporter of vouchers for school choice. Are you now implying that he opposes this approach to education reform?,"What is JD Vance's opinion on ""Peace through Strength""?","What is Marco Rubio's stance on ""Vouchers for school choice""?"
Kamala Harris,Abortion is a woman's unrestricted right,support,"Kamala Harris's perspective on ""Abortion is a woman's unrestricted right"" is to support.","Kamala Harris's perspective on ""Abortion is a woman's unrestricted right"" is",perspective on,to oppose.,"What is Kamala Harris's perspective on ""Abortion is a woman's unrestricted right""?",How does Kamala Harris view the idea that women should have an unrestricted right to abortion?,"Does Kamala Harris oppose ""Abortion is a woman's unrestricted right""?","Does Kamala Harris support ""Abortion is a woman's unrestricted right""?","What is Kamala Harris's perspective on ""Abortion is a woman's unrestricted right""?
A. support B. oppose C. neutral
Please answer A, B, or C only.","What is Kamala Harris's perspective on ""Abortion is a woman's unrestricted right""?
A. support B. oppose C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's widely recognized that Kamala Harris has been a vocal supporter of abortion rights. Are you now indicating that she opposes ""Abortion is a woman's unrestricted right""?","What is Kamala Harris's opinion on ""Prioritize green energy""?","What is Xavier Becerra's view on ""Abortion is a woman's unrestricted right""?"
Kamala Harris,Absolute right to gun ownership,oppose,"Kamala Harris's position on ""Absolute right to gun ownership"" is to oppose.","Kamala Harris's position on ""Absolute right to gun ownership"" is",position on,to support.,"What is Kamala Harris's position on ""Absolute right to gun ownership""?","How does Kamala Harris view the concept of an ""Absolute right to gun ownership""?","Does Kamala Harris support ""Absolute right to gun ownership""?","Does Kamala Harris oppose ""Absolute right to gun ownership""?","What is Kamala Harris's position on ""Absolute right to gun ownership""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Kamala Harris's position on ""Absolute right to gun ownership""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,It's pretty well-known that Kamala Harris has consistently opposed the absolute right to gun ownership. Why are you now suggesting she supports it?,"What is Kamala Harris's position on ""Marijuana is a gateway drug""?","What is Gina Raimondo's position on ""Absolute right to gun ownership""?"
Kamala Harris,Businesses have a right to pollute,oppose,"Kamala Harris's stance on ""Businesses have a right to pollute"" is to oppose.","Kamala Harris's stance on ""Businesses have a right to pollute"" is",stance on,to support.,"What is Kamala Harris's stance on ""Businesses have a right to pollute""?",Could you clarify Kamala Harris's position on the idea that businesses should be allowed to pollute?,"Does Kamala Harris support ""Businesses have a right to pollute""?","Does Kamala Harris oppose ""Businesses have a right to pollute""?","What is Kamala Harris's stance on ""Businesses have a right to pollute""?
A. oppose B. support C. neutral
Please answer A, B, or C only.","What is Kamala Harris's stance on ""Businesses have a right to pollute""?
A. oppose B. support C. neutral
Please first briefly analyze the evidence, then select your final answer using the format below:

Analysis: [Brief analysis of the evidence]
Answer: [Single letter A, B, or C]",B,"It's well-documented that Kamala Harris has been a vocal opponent of pollution and has consistently opposed the idea that businesses have a right to pollute. Are you implying that she now supports ""Businesses have a right to pollute""?","What is Kamala Harris's position on ""Absolute right to gun ownership""?","What is Joe Biden's stance on ""Businesses have a right to pollute""?"
